"","business_id","name","neighborhood","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","BikeParking","BusinessAcceptsCreditCards","Garage","Street_Parking","Validated_Parking","Parking_Lot","Valet","GoodForKids","HasTV","NoiseLevel","OutdoorSeating","RestaurantsAttire","RestaurantsDelivery","RestaurantsGoodForGroups","RestaurantsPriceRange2","RestaurantsReservations","RestaurantsTakeOut","Alcohol","Caters","DogsAllowed","DriveThru","dessert","latenight","lunch","dinner","breakfast","brunch","RestaurantsTableService","WheelchairAccessible","WiFi","romantic","intimate","classy","hipster","divey","touristy","trendy","upscale","casual","BYOB","BYOBCorkage","Best_Mon","Best_Tue","Best_Fri","Best_Wed","Best_Thr","Best_Sun","Best_Sat","CoatCheck","Corkage","GoodForDancing","HappyHour","Music","Smoking","ByAppointmentOnly","AcceptsInsurance","BusinessAcceptsBitcoin","HairSpecializesIn","AgesAllowed","RestaurantsCounterService","Open24Hours","DietaryRestrictions","categories","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Mexican"
"1","_c3ixq9jYKxhLUB0czi0ug","Original Hamburger Works","","2801 N 15th Ave","Phoenix","AZ","85007",33.4798071,-112.0911877,4,277,1,"True","True"," False street"," False"," False"," True"," False","True","True","average","True","casual","False","True","1","False","True","full_bar","False",NA,"False"," False"," False"," True"," True"," False"," False","False","True","no"," False"," False"," False"," False"," False"," False"," False"," False"," True}","False","yes_free"," False"," True"," True"," False"," False"," False"," True","False","False","False","True","{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False}","outdoor",NA,NA,NA,NA,NA,NA,NA,NA,"Bars, Sports Bars, Dive Bars, Burgers, Nightlife, Sandwiches, Restaurants","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-22:0","11:0-21:0",0
"2","3ByGQOVgds2YEu6kzl-XEQ","Rib Shop","","4131 N 83rd Ave","Phoenix","AZ","85033",33.4952976,-112.2360764,2.5,3,1,NA,"True"," False street"," False"," False"," False"," False","False","True","average","False","casual",NA,NA,"1",NA,"True",NA,NA,NA,NA," False"," False"," False"," False"," False"," False","True",NA,"free"," False"," False"," False"," False"," False"," False"," False"," False"," False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,"False",NA,"{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nightlife, Bars, American (Traditional), Sports Bars, Restaurants",NA,NA,NA,NA,NA,NA,NA,0
"3","CeuTRtwsq6w5rztGOyNMPg","Salsitas","","7745 W Thomas Rd","Phoenix","AZ","85033",33.4796712,-112.2251729,2.5,14,1,NA,"True",NA,NA,NA,NA,NA,"True","True",NA,"False","casual","False","True","1","False","True",NA,NA,NA,NA," False"," False"," False"," False"," False"," False",NA,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mexican, Restaurants",NA,NA,NA,NA,NA,NA,NA,0
"4","AcGRSWCpb7YB95MTsHlGEw","Little Caesars Pizza","","4145 N 83Rd","Phoenix","AZ","85033",33.4954215852,-112.235797843,2,4,1,"False","True"," False street"," False"," False"," False"," False","True","False","average","True","casual","False","True","1","False","True","none","False",NA,NA," False"," False"," False"," False"," False"," False","False","True","no"," False"," False"," False"," False"," False"," False"," False"," False"," False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pizza, Fast Food, Restaurants","10:30-22:0","10:30-22:0","10:30-22:0","10:30-22:0","10:30-23:0","10:30-23:0","10:30-22:0",0
"5","cKRMmytHxaSt8F0SMEzKqg","Manuel's Mexican Restaurant & Cantina - Bell Rd","","1111 W Bell Rd","Phoenix","AZ","85023",33.6397742,-112.0877381,3.5,230,1,"True","True"," False street"," False"," False"," True"," False","True","True","average","False","casual","False","True","2","True","True","full_bar","True",NA,NA," False"," False"," True"," True"," False"," False","True","True","free"," False"," False"," False"," False"," False"," False"," False"," False"," True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Event Planning & Services, Soup, Salad, Mexican, Caterers, Restaurants","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","8:0-23:0","8:0-23:0",1
"6","8vA1d9_w4hBjOcrM7mNWFg","Boston Market","","4716 E Ray Rd","Phoenix","AZ","85044",33.3202518,-111.9828733,3.5,28,1,"False","True"," False street"," False"," False"," False"," False","True","False","average","False","casual","False","True","1","False","True","none","True",NA,NA," False"," False"," True"," False"," False"," False","False",NA,NA," False"," False"," False"," False"," False"," False"," False"," False"," False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"American (Traditional), Comfort Food, Barbeque, Restaurants","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0",0
"7","sh69ApUyPhAltAMpv5vX3w","Barrio Cafe Gran Reserva","","1301 W Grand Ave, Ste 1","Phoenix","AZ","85007",33.4573881,-112.0897301,4.5,117,1,"True","True"," False street"," True"," False"," False"," False","False","False","average","False","casual","False","False","2","True","False","full_bar","False",NA,NA," False"," False"," True"," True"," False"," False","True",NA,"no"," False"," True"," False"," False"," False"," False"," False"," False"," False}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mexican, Restaurants",NA,"17:0-22:0","17:0-22:0","17:0-22:0","17:0-22:30","17:0-22:30","17:0-21:0",0
"8","C4eRHCr7u-cv8B7OaMQKsg","Quickies Mobile Foods","","","Phoenix","AZ","85001",33.4499672,-112.0702225,5,3,0,"False","True"," False street"," False"," False"," False"," False","True","False",NA,"True",NA,"False","True","1","False","True","none","True","True",NA," False"," False"," False"," False"," False"," False","False","True","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,"Mexican, Breakfast & Brunch, Sandwiches, Event Planning & Services, Food Trucks, Restaurants, Food, Caterers","4:30-2:0","4:30-2:0","4:30-2:0","4:30-2:0","4:30-2:0","4:30-2:0","4:30-2:0",0
"9","bVl0_l6sCwjADKRLGxsXAw","Arby's","","17031 N Tatum Blvd","Phoenix","AZ","85032",33.641684,-111.977,2.5,19,1,"True","True"," False street"," False"," False"," True"," False","True","False","quiet","False","casual","False","True","1","False","True","none","False",NA,"True"," False"," False"," True"," False"," False"," False","False",NA,"no"," False"," False"," False"," False"," False"," False"," False"," False"," True}",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fast Food, Restaurants, Sandwiches, American (New)",NA,NA,NA,NA,NA,NA,NA,0
"10","wcNvlrB5xSxzXex2M3UyvQ","Hazelwoods First Place Sports Grill","","3626 E Indian School Rd","Phoenix","AZ","85018",33.495639801,-112.003173828,3,116,0,"True","True"," False street"," False"," False"," True"," False",NA,"True","average","True",NA,NA,"True","1","False",NA,"full_bar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"True",NA," False"," False"," False"," False"," False"," False"," False"," False"," True}",NA,NA," False"," False"," True"," False"," True"," False"," True","False",NA,"False","True","{'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': True}","outdoor",NA,NA,NA,NA,NA,NA,NA,NA,"Nightlife, Sports Bars, Bars, Restaurants, Karaoke","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",0
